month,state,totals
2017-09-01,Montana,10283
2017-09-01,Nebraska,5345
2017-09-01,Nevada,9460
2017-09-01,New Hampshire,10689
2017-09-01,New Jersey,7165
2017-09-01,New Mexico,12491
2017-09-01,New York,30703
2017-09-01,North Carolina,37325
2017-09-01,North Dakota,5212
2017-09-01,Ohio,49942
2017-09-01,Oklahoma,23371
2017-09-01,Oregon,27277
2017-09-01,Pennsylvania,77003
2017-09-01,Puerto Rico,791
2017-09-01,Rhode Island,1799
2017-09-01,South Carolina,25930
2017-09-01,South Dakota,7457
2017-09-01,Tennessee,50945
2017-09-01,Texas,128260
2017-09-01,Utah,20041
2017-09-01,Vermont,3084
2017-09-01,Virgin Islands,9
2017-09-01,Virginia,36446
2017-09-01,Washington,43049
2017-09-01,West Virginia,16723
2017-09-01,Wisconsin,37506
2017-09-01,Wyoming,4281
2017-08-01,Alabama,35038
2017-08-01,Alaska,6946
2017-08-01,Arizona,29376
2017-08-01,Arkansas,17517
2017-08-01,California,130901
2017-08-01,Colorado,37150
2017-08-01,Connecticut,14019
2017-08-01,Delaware,3509
2017-08-01,District of Columbia,80
2017-08-01,Florida,96664
2017-08-01,Georgia,38830
2017-08-01,Guam,159
2017-08-01,Hawaii,1079
2017-08-01,Idaho,13341
2017-08-01,Illinois,126921
2017-08-01,Indiana,47649
2017-08-01,Iowa,9416
2017-08-01,Kansas,13097
2017-08-01,Kentucky,394718
2017-08-01,Louisiana,24694
2017-08-01,Maine,7751
2017-08-01,Mariana Islands,27
2017-08-01,Maryland,11561
2017-08-01,Massachusetts,16258
2017-08-01,Michigan,39255
2017-08-01,Minnesota,46613
2017-08-01,Mississippi,21963
2017-08-01,Missouri,37449
2017-08-01,Montana,9618
2017-08-01,Nebraska,5209
2017-08-01,Nevada,9035
2017-08-01,New Hampshire,9313
2017-08-01,New Jersey,7443
2017-08-01,New Mexico,11690
2017-08-01,New York,28779
2017-08-01,North Carolina,41122
2017-08-01,North Dakota,4874
2017-08-01,Ohio,51103
2017-08-01,Oklahoma,24061
2017-08-01,Oregon,24904
2017-08-01,Pennsylvania,79020
2017-08-01,Puerto Rico,1490
2017-08-01,Rhode Island,1718
2017-08-01,South Carolina,31663
2017-08-01,South Dakota,6686
2017-08-01,Tennessee,49945
2017-08-01,Texas,110946
2017-08-01,Utah,22010
2017-08-01,Vermont,2676
2017-08-01,Virgin Islands,132
2017-08-01,Virginia,39114
2017-08-01,Washington,42120
2017-08-01,West Virginia,14770
2017-08-01,Wisconsin,40924
2017-08-01,Wyoming,4111
2017-07-01,Alabama,31474
2017-07-01,Alaska,6487
2017-07-01,Arizona,25714
2017-07-01,Arkansas,14015
2017-07-01,California,114595
2017-07-01,Colorado,33811
2017-07-01,Connecticut,14525
2017-07-01,Delaware,2981
2017-07-01,District of Columbia,68
2017-07-01,Florida,92822
2017-07-01,Georgia,35085
2017-07-01,Guam,145
2017-07-01,Hawaii,1109
2017-07-01,Idaho,11871
2017-07-01,Illinois,108000
2017-07-01,Indiana,47145
2017-07-01,Iowa,8801
2017-07-01,Kansas,13775
2017-07-01,Kentucky,390494
2017-07-01,Louisiana,20454
2017-07-01,Maine,5837
2017-07-01,Mariana Islands,13
2017-07-01,Maryland,10088
2017-07-01,Massachusetts,12900
2017-07-01,Michigan,33378
2017-07-01,Minnesota,41186
2017-07-01,Mississippi,14388
2017-07-01,Missouri,32415
2017-07-01,Montana,7890
2017-07-01,Nebraska,4266
2017-07-01,Nevada,8310
2017-07-01,New Hampshire,8333
2017-07-01,New Jersey,7034
2017-07-01,New Mexico,10580
2017-07-01,New York,25576
2017-07-01,North Carolina,34784
2017-07-01,North Dakota,4136
2017-07-01,Ohio,49432
2017-07-01,Oklahoma,20738
2017-07-01,Oregon,23239
2017-07-01,Pennsylvania,73654
2017-07-01,Puerto Rico,1381
2017-07-01,Rhode Island,1646
2017-07-01,South Carolina,26567
2017-07-01,South Dakota,6068
2017-07-01,Tennessee,52643
2017-07-01,Texas,98338
2017-07-01,Utah,17925
2017-07-01,Vermont,2275
